hospital_name,hospital_type,address,hq_city,hq_state,hq_zip,county,state,state_fips,county_fips,fips,licensed_beds,staffed_beds,icu_beds,adult_icu_beds,pedi_icu_beds,bed_utilization,avg_ventilator_usage,increase_in_bed_capacity
"""St Jude Medical Center""","""Short Term Acute Care Hospital""","""101 E Valencia Mesa Dr""","""Fullerton""","""CA""","""92835""","""Orange""","""California""","""06""","""059""","""06059""",320,290,51,51,0,0.53010178,7,30
"""St Joseph Hospital Orange""","""Short Term Acute Care Hospital""","""1100 W Stewart Dr""","""Orange""","""CA""","""92868""","""Orange""","""California""","""06""","""059""","""06059""",426,426,32,32,0,0.45026168,6,0
"""AHMC Anaheim Regional Medical Center""","""Short Term Acute Care Hospital""","""1111 W La Palma Ave""","""Anaheim""","""CA""","""92801""","""Orange""","""California""","""06""","""059""","""06059""",223,223,32,32,11,0.54734319,5,0
"""Hoag Hospital Newport Beach""","""Short Term Acute Care Hospital""","""1 Hoag Dr""","""Newport Beach""","""CA""","""92663""","""Orange""","""California""","""06""","""059""","""06059""",443,443,31,31,21,0.67650962,20,0
"""Garden Grove Hospital Medical Center""","""Short Term Acute Care Hospital""","""12601 Garden Grove Blvd""","""Garden Grove""","""CA""","""92843""","""Orange""","""California""","""06""","""059""","""06059""",167,167,12,12,12,0.29027972,5,0
"""UCI Medical Center (FKA UC Irvine Medical Center)""","""Short Term Acute Care Hospital""","""101 The City Dr S""","""Orange""","""CA""","""92868""","""Orange""","""California""","""06""","""059""","""06059""",402,352,58,58,42,0.79727584,11,50
"""Huntington Beach Hospital""","""Short Term Acute Care Hospital""","""17772 Beach Blvd""","""Huntington Beach""","""CA""","""92647""","""Orange""","""California""","""06""","""059""","""06059""",82,82,12,12,0,0.38085532,4,0
"""Fountain Valley Regional Hospital & Medical Center""","""Short Term Acute Care Hospital""","""17100 Euclid St""","""Fountain Valley""","""CA""","""92708""","""Orange""","""California""","""06""","""059""","""06059""",400,400,36,36,23,0.57683563,14,0
"""Mission Hospital Mission Viejo""","""Short Term Acute Care Hospital""","""27700 Medical Center Rd""","""Mission Viejo""","""CA""","""92691""","""Orange""","""California""","""06""","""059""","""06059""",523,523,73,73,0,0.36691344,8,0
"""College Hospital Costa Mesa""","""Short Term Acute Care Hospital""","""301 Victoria St""","""Costa Mesa""","""CA""","""92627""","""Orange""","""California""","""06""","""059""","""06059""",122,122,21,21,0,0.94269031,0,0
"""Los Alamitos Medical Center""","""Short Term Acute Care Hospital""","""3751 Katella Ave""","""Los Alamitos""","""CA""","""90720""","""Orange""","""California""","""06""","""059""","""06059""",162,150,17,17,0,0.68581057,6,12
"""LAC & USC Medical Center""","""Short Term Acute Care Hospital""","""2051 Marengo St""","""Los Angeles""","""CA""","""90033""","""Los Angeles""","""California""","""06""","""037""","""06037""",600,594,148,148,40,0.80121768,8,6
"""Harbor - UCLA Medical Center""","""Short Term Acute Care Hospital""","""1000 W Carson St""","""Torrance""","""CA""","""90509""","""Los Angeles""","""California""","""06""","""037""","""06037""",415,390,46,46,27,0.61530733,6,25
"""West Anaheim Medical Center""","""Short Term Acute Care Hospital""","""3033 W Orange Ave""","""Anaheim""","""CA""","""92804""","""Orange""","""California""","""06""","""059""","""06059""",167,167,20,20,0,0.40067261,8,0
"""Orange Coast Medical Center (FKA Orange Coast Memorial Medical Center)""","""Short Term Acute Care Hospital""","""18111 Brookhurst St""","""Fountain Valley""","""CA""","""92708""","""Orange""","""California""","""06""","""059""","""06059""",222,222,21,21,12,0.53041303,5,0
"""Placentia-Linda Hospital""","""Short Term Acute Care Hospital""","""1301 N Rose Dr""","""Placentia""","""CA""","""92870""","""Orange""","""California""","""06""","""059""","""06059""",114,114,8,8,0,0.26080912,2,0
"""La Palma Intercommunity Hospital""","""Short Term Acute Care Hospital""","""7901 Walker St""","""La Palma""","""CA""","""90623""","""Orange""","""California""","""06""","""059""","""06059""",124,124,8,8,0,0.23499779,4,0
"""Orange County - Anaheim Medical Center""","""Short Term Acute Care Hospital""","""3440 E La Palma Ave""","""Anaheim""","""CA""","""92806""","""Orange""","""California""","""06""","""059""","""06059""",262,219,60,60,26,0.53357273,3,43
"""Saddleback Medical Center (FKA Saddleback Memorial Medical Center - Laguna Hills)""","""Short Term Acute Care Hospital""","""24451 Health Center Dr""","""Laguna Hills""","""CA""","""92653""","""Orange""","""California""","""06""","""059""","""06059""",248,248,22,22,19,0.45394853,6,0
"""Anaheim Global Medical Center (FKA Western Medical Center Hospital Anaheim)""","""Short Term Acute Care Hospital""","""1025 S Anaheim Blvd""","""Anaheim""","""CA""","""92805""","""Orange""","""California""","""06""","""059""","""06059""",189,189,22,22,0,0.40545285,2,0
"""Chapman Global Medical Center (FKA Chapman Medical Center)""","""Short Term Acute Care Hospital""","""2601 E Chapman Ave""","""Orange""","""CA""","""92869""","""Orange""","""California""","""06""","""059""","""06059""",75,75,12,12,0,0.26812786,2,0
"""Orange County Global Medical Center (FKA Western Medical Center Santa Ana)""","""Short Term Acute Care Hospital""","""1001 N Tustin Ave""","""Santa Ana""","""CA""","""92705""","""Orange""","""California""","""06""","""059""","""06059""",254,254,49,49,16,0.42960846,5,0
"""South Coast Global Medical Center (FKA Coastal Communities Hospital)""","""Short Term Acute Care Hospital""","""2701 S Bristol St""","""Santa Ana""","""CA""","""92704""","""Orange""","""California""","""06""","""059""","""06059""",109,109,9,9,0,0.30503958,2,0
"""Rancho Los Amigos National Rehabilitation Center""","""Short Term Acute Care Hospital""","""7601 Imperial Hwy""","""Downey""","""CA""","""90242""","""Los Angeles""","""California""","""06""","""037""","""06037""",158,114,12,12,0,0.52828646,2,44
"""Sutter Auburn Faith Hospital""","""Short Term Acute Care Hospital""","""11815 Education St""","""Auburn""","""CA""","""95603""","""Placer""","""California""","""06""","""061""","""06061""",64,64,8,8,0,0.48497432,3,0
"""Sutter Roseville Medical Center""","""Short Term Acute Care Hospital""","""1 Medical Plaza Pl""","""Roseville""","""CA""","""95661""","""Placer""","""California""","""06""","""061""","""06061""",328,264,32,32,16,0.77534246,13,64
"""Eastern Plumas Hospital - Portola Campus""","""Critical Access Hospital""","""500 1st Ave""","""Portola""","""CA""","""96122""","""Plumas""","""California""","""06""","""063""","""06063""",9,9,2,2,0,0.36672738,0,0
"""Plumas District Hospital""","""Critical Access Hospital""","""1065 Bucks Lake Rd""","""Quincy""","""CA""","""95971""","""Plumas""","""California""","""06""","""063""","""06063""",16,17,4,4,0,0.36148268,2,-1
"""Seneca Healthcare District Hospital""","""Critical Access Hospital""","""130 Brentwood Dr""","""Chester""","""CA""","""96020""","""Plumas""","""California""","""06""","""063""","""06063""",10,10,2,2,0,0.092896178,1,0
"""Moreno Valley Medical Center""","""Short Term Acute Care Hospital""","""27300 Iris Ave""","""Moreno Valley""","""CA""","""92555""","""Riverside""","""California""","""06""","""065""","""06065""",94,94,10,10,0,0.40760711,2,0
"""Menifee Global Medical Center (FKA Menifee Valley Medical Center)""","""Short Term Acute Care Hospital""","""28400 McCall Blvd""","""Menifee""","""CA""","""92585""","""Riverside""","""California""","""06""","""065""","""06065""",84,84,10,10,0,0.56079584,2,0
"""Riverside Medical Center""","""Short Term Acute Care Hospital""","""10800 Magnolia Ave""","""Riverside""","""CA""","""92505""","""Riverside""","""California""","""06""","""065""","""06065""",226,226,22,22,19,0.49818161,3,0
"""Eisenhower Health""","""Short Term Acute Care Hospital""","""39000 Bob Hope Dr""","""Rancho Mirage""","""CA""","""92270""","""Riverside""","""California""","""06""","""065""","""06065""",463,345,34,34,0,0.51275045,9,118
"""JFK Memorial Hospital""","""Short Term Acute Care Hospital""","""47111 Monroe St""","""Indio""","""CA""","""92201""","""Riverside""","""California""","""06""","""065""","""06065""",145,130,16,16,0,0.39142495,4,15
"""Palo Verde Hospital""","""Short Term Acute Care Hospital""","""250 N 1st St""","""Blythe""","""CA""","""92225""","""Riverside""","""California""","""06""","""065""","""06065""",51,51,4,4,0,0.11523626,2,0
"""Hemet Valley Medical Center""","""Short Term Acute Care Hospital""","""1117 E Devonshire Ave""","""Hemet""","""CA""","""92543""","""Riverside""","""California""","""06""","""065""","""06065""",304,22,18,18,0,0.46296605,6,282
"""Corona Regional Medical Center - Main Street Campus""","""Short Term Acute Care Hospital""","""800 S Main St""","""Corona""","""CA""","""92882""","""Riverside""","""California""","""06""","""065""","""06065""",160,160,22,22,0,0.52804792,7,0
"""Riverside University Health System Medical Center (FKA Riverside County Regional Medical Center)""","""Short Term Acute Care Hospital""","""26520 Cactus Ave""","""Moreno Valley""","""CA""","""92555""","""Riverside""","""California""","""06""","""065""","""06065""",362,423,45,45,40,0.72145474,7,-61
"""Desert Regional Medical Center""","""Short Term Acute Care Hospital""","""1150 N Indian Canyon Dr""","""Palm Springs""","""CA""","""92262""","""Riverside""","""California""","""06""","""065""","""06065""",353,326,31,31,30,0.66454685,8,27
"""Parkview Community Hospital Medical Center""","""Short Term Acute Care Hospital""","""3865 Jackson St""","""Riverside""","""CA""","""92503""","""Riverside""","""California""","""06""","""065""","""06065""",193,191,13,13,12,0.39909631,5,2
"""San Gorgonio Memorial Hospital""","""Short Term Acute Care Hospital""","""600 N Highland Springs Ave""","""Banning""","""CA""","""92220""","""Riverside""","""California""","""06""","""065""","""06065""",79,61,6,6,0,0.44873118,3,18
"""Riverside Community Hospital""","""Short Term Acute Care Hospital""","""4445 Magnolia Ave""","""Riverside""","""CA""","""92501""","""Riverside""","""California""","""06""","""065""","""06065""",478,478,89,89,0,0.69434917,12,0
"""Mercy General Hospital""","""Short Term Acute Care Hospital""","""4001 J St""","""Sacramento""","""CA""","""95819""","""Sacramento""","""California""","""06""","""067""","""06067""",419,342,21,21,0,0.41636792,11,77
"""Sutter Medical Center - Ose Adams Medical Pavilion (FKA Sutter General Hospital)""","""Short Term Acute Care Hospital""","""2825 Capitol Ave""","""Sacramento""","""CA""","""95816""","""Sacramento""","""California""","""06""","""067""","""06067""",523,523,80,80,81,0.65509313,14,0
"""VA Northern California Health Care System Valley Division - Sacramento VA Medical Center""","""VA Hospital""","""10535 Hospital Way""","""Mather""","""CA""","""95655""","""Sacramento""","""California""","""06""","""067""","""06067""",50,50,1,1,null,null,2,0
"""Kaiser Permanente - Sacramento Medical Center""","""Short Term Acute Care Hospital""","""2025 Morse Ave""","""Sacramento""","""CA""","""95825""","""Sacramento""","""California""","""06""","""067""","""06067""",287,287,34,34,0,0.477476,6,0
"""Mercy Hospital of Folsom""","""Short Term Acute Care Hospital""","""1650 Creekside Dr""","""Folsom""","""CA""","""95630""","""Sacramento""","""California""","""06""","""067""","""06067""",106,106,8,8,0,0.62101316,6,0
"""Mercy San Juan Medical Center""","""Short Term Acute Care Hospital""","""6501 Coyle Ave""","""Carmichael""","""CA""","""95608""","""Sacramento""","""California""","""06""","""067""","""06067""",370,370,56,56,26,0.68547207,23,0
"""Kaiser Permanente - South Sacramento Medical Center""","""Short Term Acute Care Hospital""","""6600 Bruceville Rd""","""Sacramento""","""CA""","""95823""","""Sacramento""","""California""","""06""","""067""","""06067""",241,233,30,30,0,0.65440202,8,8
"""Methodist Hospital of Sacramento""","""Short Term Acute Care Hospital""","""7500 Hospital Dr""","""Sacramento""","""CA""","""95823""","""Sacramento""","""California""","""06""","""067""","""06067""",158,158,20,20,12,0.58080661,9,0
"""University of California Davis Medical Center (AKA UC Davis Medical Center)""","""Short Term Acute Care Hospital""","""2315 Stockton Blvd""","""Sacramento""","""CA""","""95817""","""Sacramento""","""California""","""06""","""067""","""06067""",625,598,84,84,73,0.84651119,18,27
"""Hazel Hawkins Memorial Hospital""","""Critical Access Hospital""","""911 Sunset Dr""","""Hollister""","""CA""","""95023""","""San Benito""","""California""","""06""","""069""","""06069""",25,49,8,8,0,0.24907063,2,-24
"""Barstow Community Hospital""","""Short Term Acute Care Hospital""","""820 E Mountain View St""","""Barstow""","""CA""","""92311""","""San Bernardino""","""California""","""06""","""071""","""06071""",30,30,4,4,0,0.51114154,2,0
"""St Mary Medical Center""","""Short Term Acute Care Hospital""","""18300 Us Highway 18""","""Apple Valley""","""CA""","""92307""","""San Bernardino""","""California""","""06""","""071""","""06071""",212,213,20,20,8,0.74008697,4,-1
"""Loma Linda University Medical Center""","""Short Term Acute Care Hospital""","""11234 Anderson St""","""Loma Linda""","""CA""","""92354""","""San Bernardino""","""California""","""06""","""071""","""06071""",371,469,41,41,0,0.69706506,28,-98
"""Arrowhead Regional Medical Center""","""Short Term Acute Care Hospital""","""400 N Pepper Ave""","""Colton""","""CA""","""92324""","""San Bernardino""","""California""","""06""","""071""","""06071""",366,366,62,62,30,0.69729614,6,0
"""Hi Desert Medical Center""","""Short Term Acute Care Hospital""","""6601 White Feather Rd""","""Joshua Tree""","""CA""","""92252""","""San Bernardino""","""California""","""06""","""071""","""06071""",59,55,4,4,0,0.27074018,2,4
"""Redlands Community Hospital""","""Short Term Acute Care Hospital""","""350 Terracina Blvd""","""Redlands""","""CA""","""92373""","""San Bernardino""","""California""","""06""","""071""","""06071""",195,195,12,12,17,0.63668424,5,0
"""San Antonio Regional Hospital (FKA San Antonio Community Hospital)""","""Short Term Acute Care Hospital""","""999 San Bernardino Rd""","""Upland""","""CA""","""91786""","""San Bernardino""","""California""","""06""","""071""","""06071""",363,363,24,24,0,0.57462543,11,0
"""Community Hospital of San Bernardino""","""Short Term Acute Care Hospital""","""1805 Medical Center Dr""","""San Bernardino""","""CA""","""92411""","""San Bernardino""","""California""","""06""","""071""","""06071""",185,185,21,21,9,0.41734174,3,0
"""St Bernardine Medical Center""","""Short Term Acute Care Hospital""","""2101 N Waterman Ave""","""San Bernardino""","""CA""","""92404""","""San Bernardino""","""California""","""06""","""071""","""06071""",342,328,47,47,20,0.54003507,8,14
"""Fontana Medical Center""","""Short Term Acute Care Hospital""","""9961 Sierra Ave""","""Fontana""","""CA""","""92335""","""San Bernardino""","""California""","""06""","""071""","""06071""",450,626,80,80,36,0.55159962,8,-176
"""Chino Valley Medical Center""","""Short Term Acute Care Hospital""","""5451 Walnut Ave""","""Chino""","""CA""","""91710""","""San Bernardino""","""California""","""06""","""071""","""06071""",112,112,14,14,0,0.3435747,3,0
"""Bear Valley Community Hospital (AKA Bear Valley Community Healthcare District)""","""Critical Access Hospital""","""41870 Garstin Dr""","""Big Bear Lake""","""CA""","""92315""","""San Bernardino""","""California""","""06""","""071""","""06071""",9,9,2,2,0,0.15148756,2,0
"""Montclair Hospital Medical Center""","""Short Term Acute Care Hospital""","""5000 San Bernardino St""","""Montclair""","""CA""","""91763""","""San Bernardino""","""California""","""06""","""071""","""06071""",106,106,8,8,0,0.23251486,3,0
"""VA Loma Linda Healthcare System (AKA Jerry L Pettis Memorial Veterans Hospital)""","""VA Hospital""","""11201 Benton St""","""Loma Linda""","""CA""","""92357""","""San Bernardino""","""California""","""06""","""071""","""06071""",162,162,0,0,null,null,0,0
"""Desert Valley Hospital""","""Short Term Acute Care Hospital""","""16850 Bear Valley Rd""","""Victorville""","""CA""","""92395""","""San Bernardino""","""California""","""06""","""071""","""06071""",148,148,18,18,0,0.77276933,7,0
"""Victor Valley Global Medical Center""","""Short Term Acute Care Hospital""","""15248 Eleventh St""","""Victorville""","""CA""","""92395""","""San Bernardino""","""California""","""06""","""071""","""06071""",101,101,10,10,2,0.56034178,3,0
"""Colorado River Medical Center""","""Critical Access Hospital""","""1401 Bailey Ave""","""Needles""","""CA""","""92363""","""San Bernardino""","""California""","""06""","""071""","""06071""",25,25,4,4,0,0.14082192,1,0
"""Mountains Community Hospital""","""Critical Access Hospital""","""29101 Hospital Rd""","""Lake Arrowhead""","""CA""","""92352""","""San Bernardino""","""California""","""06""","""071""","""06071""",17,17,3,3,0,0.18791297,0,0
"""Kaiser Permanente Zion Medical Center""","""Short Term Acute Care Hospital""","""4647 Zion Ave""","""San Diego""","""CA""","""92120""","""San Diego""","""California""","""06""","""073""","""06073""",406,563,32,32,29,0.48262876,4,-157
"""Scripps Memorial Hospital Encinitas""","""Short Term Acute Care Hospital""","""354 Santa Fe Dr""","""Encinitas""","""CA""","""92024""","""San Diego""","""California""","""06""","""073""","""06073""",193,171,12,12,0,0.69515342,5,22
"""Scripps Green Hospital""","""Short Term Acute Care Hospital""","""10666 N Torrey Pines Rd""","""La Jolla""","""CA""","""92037""","""San Diego""","""California""","""06""","""073""","""06073""",173,150,24,24,0,0.51676714,3,23
"""VA San Diego Healthcare System""","""VA Hospital""","""3350 La Jolla Village Dr""","""San Diego""","""CA""","""92161""","""San Diego""","""California""","""06""","""073""","""06073""",296,296,0,0,null,null,0,0
"""Alvarado Hospital Medical Center""","""Short Term Acute Care Hospital""","""6655 Alvarado Rd""","""San Diego""","""CA""","""92120""","""San Diego""","""California""","""06""","""073""","""06073""",306,226,28,28,0,0.25940114,6,80
"""Palomar Medical Center Poway (FKA Pomerado Hospital)""","""Short Term Acute Care Hospital""","""15615 Pomerado Rd""","""Poway""","""CA""","""92064""","""San Diego""","""California""","""06""","""073""","""06073""",95,95,12,12,4,0.52047741,8,0
"""Palomar Medical Center Downtown Escondido (FKA Palomar Health Downtown Campus)""","""Short Term Acute Care Hospital""","""555 E Valley Pkwy""","""Escondido""","""CA""","""92025""","""San Diego""","""California""","""06""","""073""","""06073""",93,286,48,48,0,0.71714205,10,-193
"""Tri-City Medical Center""","""Short Term Acute Care Hospital""","""4002 Vista Way""","""Oceanside""","""CA""","""92056""","""San Diego""","""California""","""06""","""073""","""06073""",368,290,28,28,20,0.52045345,9,78
"""Scripps Mercy Hospital San Diego""","""Short Term Acute Care Hospital""","""4077 5th Ave""","""San Diego""","""CA""","""92103""","""San Diego""","""California""","""06""","""073""","""06073""",446,487,56,56,0,0.7185452,16,-41
"""Sharp Memorial Hospital""","""Short Term Acute Care Hospital""","""7901 Frost St""","""San Diego""","""CA""","""92123""","""San Diego""","""California""","""06""","""073""","""06073""",656,459,74,74,84,0.5007574,16,197
"""Sharp Coronado Hospital""","""Short Term Acute Care Hospital""","""250 Prospect Pl""","""Coronado""","""CA""","""92118""","""San Diego""","""California""","""06""","""073""","""06073""",59,59,7,7,0,0.32454145,2,0
"""Sharp Chula Vista Medical Center""","""Short Term Acute Care Hospital""","""751 Medical Center Ct""","""Chula Vista""","""CA""","""91911""","""San Diego""","""California""","""06""","""073""","""06073""",349,243,35,35,9,0.78986412,13,106
"""Scripps Memorial Hospital La Jolla""","""Short Term Acute Care Hospital""","""9888 Genesee Ave""","""La Jolla""","""CA""","""92037""","""San Diego""","""California""","""06""","""073""","""06073""",432,365,59,59,0,0.63846874,11,67
"""Paradise Valley Hospital""","""Short Term Acute Care Hospital""","""2400 E 4th St""","""National City""","""CA""","""91950""","""San Diego""","""California""","""06""","""073""","""06073""",291,291,15,15,0,0.4621084,6,0
"""UC San Diego Medical Center - Hillcrest""","""Short Term Acute Care Hospital""","""200 W Arbor Dr""","""San Diego""","""CA""","""92103""","""San Diego""","""California""","""06""","""073""","""06073""",390,381,58,58,52,0.78506762,21,9
"""Sharp Grossmont Hospital""","""Short Term Acute Care Hospital""","""5555 Grossmont Center Dr""","""La Mesa""","""CA""","""91942""","""San Diego""","""California""","""06""","""073""","""06073""",448,430,48,48,24,0.7159223,32,18
"""California Pacific Medical Center - Mission Bernal Campus (FKA California Pacific Medical Center - St Lukes Campus)""","""Short Term Acute Care Hospital""","""3555 Cesar Chavez""","""San Francisco""","""CA""","""94110""","""San Francisco""","""California""","""06""","""075""","""06075""",120,120,10,10,0,0.55557078,3,0
"""California Pacific Medical Center - Davies Campus""","""Short Term Acute Care Hospital""","""45 Castro St""","""San Francisco""","""CA""","""94114""","""San Francisco""","""California""","""06""","""075""","""06075""",153,137,8,8,0,0.35156485,3,16
"""Zuckerberg San Francisco General Hospital (FKA San Francisco General Hospital)""","""Short Term Acute Care Hospital""","""1001 Potrero Ave""","""San Francisco""","""CA""","""94110""","""San Francisco""","""California""","""06""","""075""","""06075""",284,284,58,58,13,0.79859155,6,0
"""Kaiser Permanente - San Francisco Medical Center""","""Short Term Acute Care Hospital""","""2425 Geary Blvd""","""San Francisco""","""CA""","""94115""","""San Francisco""","""California""","""06""","""075""","""06075""",239,239,32,32,22,0.6196022,2,0
"""Saint Francis Memorial Hospital""","""Short Term Acute Care Hospital""","""900 Hyde St""","""San Francisco""","""CA""","""94109""","""San Francisco""","""California""","""06""","""075""","""06075""",259,156,34,34,0,0.31141552,4,103
"""Laguna Honda Hospital and Rehabilitation Center""","""Short Term Acute Care Hospital""","""375 Laguna Honda Blvd""","""San Francisco""","""CA""","""94116""","""San Francisco""","""California""","""06""","""075""","""06075""",11,6,1,1,0,0.042465754,0,5
"""St Marys Medical Center""","""Short Term Acute Care Hospital""","""450 Stanyan St""","""San Francisco""","""CA""","""94117""","""San Francisco""","""California""","""06""","""075""","""06075""",240,113,19,19,0,0.47482118,5,127
"""UCSF Helen Diller Medical Center at Parnassus Heights""","""Short Term Acute Care Hospital""","""400 Parnassus Ave""","""San Francisco""","""CA""","""94143""","""San Francisco""","""California""","""06""","""075""","""06075""",590,785,122,122,58,0.8194381,9,-195
"""Chinese Hospital""","""Short Term Acute Care Hospital""","""845 Jackson St""","""San Francisco""","""CA""","""94133""","""San Francisco""","""California""","""06""","""075""","""06075""",65,65,6,6,0,0.27639171,2,0
"""San Francisco VA Health Care System - San Francisco VA Medical Center""","""VA Hospital""","""4150 Clement St""","""San Francisco""","""CA""","""94121""","""San Francisco""","""California""","""06""","""075""","""06075""",112,112,1,1,null,null,2,0
"""Adventist Health Lodi Memorial""","""Short Term Acute Care Hospital""","""975 S Fairmont Ave""","""Lodi""","""CA""","""95240""","""San Joaquin""","""California""","""06""","""077""","""06077""",194,186,10,10,0,0.41756415,5,8
"""Kaiser Permanente - Manteca Medical Center""","""Short Term Acute Care Hospital""","""1777 W Yosemite Ave""","""Manteca""","""CA""","""95337""","""San Joaquin""","""California""","""06""","""077""","""06077""",61,213,26,26,24,0.56007463,3,-152
"""San Joaquin General Hospital""","""Short Term Acute Care Hospital""","""500 W Hospital Rd""","""French Camp""","""CA""","""95231""","""San Joaquin""","""California""","""06""","""077""","""06077""",152,196,16,16,25,0.6314649,7,-44
"""Dameron Hospital""","""Short Term Acute Care Hospital""","""525 W Acacia St""","""Stockton""","""CA""","""95203""","""San Joaquin""","""California""","""06""","""077""","""06077""",202,170,12,12,0,0.20499597,4,32
"""St Josephs Medical Center""","""Short Term Acute Care Hospital""","""1800 N California St""","""Stockton""","""CA""","""95204""","""San Joaquin""","""California""","""06""","""077""","""06077""",355,348,30,30,30,0.72087073,19,7
"""Doctors Hospital of Manteca""","""Short Term Acute Care Hospital""","""1205 E North St""","""Manteca""","""CA""","""95336""","""San Joaquin""","""California""","""06""","""077""","""06077""",73,73,8,8,0,0.56287897,5,0
"""Sutter Tracy Community Hospital""","""Short Term Acute Care Hospital""","""1420 N Tracy Blvd""","""Tracy""","""CA""","""95376""","""San Joaquin""","""California""","""06""","""077""","""06077""",77,77,8,8,0,0.41469491,4,0
"""French Hospital Medical Center""","""Short Term Acute Care Hospital""","""1911 Johnson Ave""","""San Luis Obispo""","""CA""","""93401""","""San Luis Obispo""","""California""","""06""","""079""","""06079""",98,98,11,11,0,0.48011389,6,0
"""Twin Cities Community Hospital""","""Short Term Acute Care Hospital""","""1100 Las Tablas Rd""","""Templeton""","""CA""","""93465""","""San Luis Obispo""","""California""","""06""","""079""","""06079""",122,122,18,18,0,0.3325271,4,0
"""Sierra Vista Regional Medical Center (FKA Sierra Vista Regional Medical Center)""","""Short Term Acute Care Hospital""","""1010 Murray Ave""","""San Luis Obispo""","""CA""","""93405""","""San Luis Obispo""","""California""","""06""","""079""","""06079""",162,162,17,17,22,0.37424949,3,0
"""Arroyo Grande Community Hospital""","""Short Term Acute Care Hospital""","""345 S Halcyon Rd""","""Arroyo Grande""","""CA""","""93420""","""San Luis Obispo""","""California""","""06""","""079""","""06079""",67,53,8,8,0,0.39172912,0,14
"""Mills-Peninsula Medical Center""","""Short Term Acute Care Hospital""","""1501 Trousdale Dr""","""Burlingame""","""CA""","""94010""","""San Mateo""","""California""","""06""","""081""","""06081""",241,241,24,24,12,0.52807367,6,0
"""Kaiser Permanente - Redwood City Medical Center""","""Short Term Acute Care Hospital""","""1100 Veterans Blvd""","""Redwood City""","""CA""","""94063""","""San Mateo""","""California""","""06""","""081""","""06081""",153,149,20,20,4,0.47639975,2,4
"""Sequoia Hospital""","""Short Term Acute Care Hospital""","""170 Alameda De Las Pulgas""","""Redwood City""","""CA""","""94062""","""San Mateo""","""California""","""06""","""081""","""06081""",208,208,16,16,0,0.24903846,3,0
"""Seton Medical Center""","""Short Term Acute Care Hospital""","""1900 Sullivan Ave""","""Daly City""","""CA""","""94015""","""San Mateo""","""California""","""06""","""081""","""06081""",255,255,28,28,0,0.20832662,5,0
"""San Mateo Medical Center (AKA San Mateo County Health System)""","""Short Term Acute Care Hospital""","""222 W 39th Ave""","""San Mateo""","""CA""","""94403""","""San Mateo""","""California""","""06""","""081""","""06081""",509,69,7,7,0,0.43953434,2,440
"""Kaiser Permanente - South San Francisco Medical Center""","""Short Term Acute Care Hospital""","""1200 El Camino Real""","""South San Francisco""","""CA""","""94080""","""San Mateo""","""California""","""06""","""081""","""06081""",120,120,15,15,0,0.46207762,2,0
"""Lompoc Valley Medical Center Hospital""","""Short Term Acute Care Hospital""","""1515 E Ocean Ave""","""Lompoc""","""CA""","""93436""","""Santa Barbara""","""California""","""06""","""083""","""06083""",60,60,6,6,0,0.33492714,3,0
"""Marian Regional Medical Center""","""Short Term Acute Care Hospital""","""1400 E Church St""","""Santa Maria""","""CA""","""93454""","""Santa Barbara""","""California""","""06""","""083""","""06083""",226,191,28,28,21,0.55450851,15,35
"""Goleta Valley Cottage Hospital""","""Short Term Acute Care Hospital""","""351 S Patterson Ave""","""Goleta""","""CA""","""93111""","""Santa Barbara""","""California""","""06""","""083""","""06083""",52,28,8,8,0,0.39090019,1,24
"""Santa Barbara Cottage Hospital""","""Short Term Acute Care Hospital""","""400 W Pueblo St""","""Santa Barbara""","""CA""","""93105""","""Santa Barbara""","""California""","""06""","""083""","""06083""",461,342,40,40,30,0.64056718,6,119
"""Santa Ynez Valley Cottage Hospital""","""Critical Access Hospital""","""2050 Viborg Rd""","""Solvang""","""CA""","""93463""","""Santa Barbara""","""California""","""06""","""083""","""06083""",11,11,2,2,0,0.12976339,1,0
"""Lucile Packard Childrens Hospital Stanford (AKA Stanford Childrens Health)""","""Childrens Hospital""","""725 Welch Rd""","""Palo Alto""","""CA""","""94304""","""Santa Clara""","""California""","""06""","""085""","""06085""",396,345,124,124,124,0.72455829,5,51
"""Good Samaritan Hospital""","""Short Term Acute Care Hospital""","""2425 Samaritan Dr""","""San Jose""","""CA""","""95124""","""Santa Clara""","""California""","""06""","""085""","""06085""",404,318,24,24,45,0.67385697,10,86
"""Stanford Hospital""","""Short Term Acute Care Hospital""","""500 Pasteur Dr""","""Palo Alto""","""CA""","""94304""","""Santa Clara""","""California""","""06""","""085""","""06085""",583,447,59,59,0,0.90326375,21,136
"""Kaiser Permanente - San Jose Medical Center""","""Short Term Acute Care Hospital""","""250 Hospital Pkwy""","""San Jose""","""CA""","""95119""","""Santa Clara""","""California""","""06""","""085""","""06085""",247,235,24,24,0,0.45775574,3,12
"""St Louise Regional Hospital""","""Short Term Acute Care Hospital""","""9400 N Name Uno""","""Gilroy""","""CA""","""95020""","""Santa Clara""","""California""","""06""","""085""","""06085""",72,72,8,8,0,0.41221461,3,0
"""VA Palo Alto Health Care System - Palo Alto Division""","""VA Hospital""","""3801 Miranda Ave""","""Palo Alto""","""CA""","""94304""","""Santa Clara""","""California""","""06""","""085""","""06085""",null,null,2,2,null,null,2,0
